,Date,SecurityId,CompanyId,Ticker,IsoCountryCode,Close
694,2024-04-16,NVDA,53501,NVDA UW Equity,US,874.15
695,2024-04-16,XOM,25079,XOM UN Equity,US,118.69
696,2024-04-15,BRK.B,44925,BRK/B UN Equity,US,400.26
697,2024-04-15,CMB,37965,JPM UN Equity,US,182.89
698,2024-04-15,MSFT,52712,MSFT UW Equity,US,413.64
699,2024-04-15,NVDA,53501,NVDA UW Equity,US,860.01
700,2024-04-15,XOM,25079,XOM UN Equity,US,119.68
701,2024-04-12,BRK.B,44925,BRK/B UN Equity,US,403.26
702,2024-04-12,CMB,37965,JPM UN Equity,US,182.79
703,2024-04-12,MSFT,52712,MSFT UW Equity,US,421.9
704,2024-04-12,NVDA,53501,NVDA UW Equity,US,881.86
705,2024-04-12,XOM,25079,XOM UN Equity,US,120.37
706,2024-04-11,BRK.B,44925,BRK/B UN Equity,US,407.61
707,2024-04-11,CMB,37965,JPM UN Equity,US,195.43
708,2024-04-11,MSFT,52712,MSFT UW Equity,US,427.93
709,2024-04-11,NVDA,53501,NVDA UW Equity,US,906.16
710,2024-04-11,XOM,25079,XOM UN Equity,US,121.79
711,2024-04-10,BRK.B,44925,BRK/B UN Equity,US,409.11
712,2024-04-10,CMB,37965,JPM UN Equity,US,195.47
713,2024-04-10,MSFT,52712,MSFT UW Equity,US,423.26
714,2024-04-10,NVDA,53501,NVDA UW Equity,US,870.39
715,2024-04-10,XOM,25079,XOM UN Equity,US,122.2
716,2024-04-09,BRK.B,44925,BRK/B UN Equity,US,414.69
717,2024-04-09,CMB,37965,JPM UN Equity,US,197.15
718,2024-04-09,MSFT,52712,MSFT UW Equity,US,426.28
719,2024-04-09,NVDA,53501,NVDA UW Equity,US,853.54
720,2024-04-09,XOM,25079,XOM UN Equity,US,121.18
721,2024-04-08,BRK.B,44925,BRK/B UN Equity,US,415.97
722,2024-04-08,CMB,37965,JPM UN Equity,US,198.48
723,2024-04-08,MSFT,52712,MSFT UW Equity,US,424.59
724,2024-04-08,NVDA,53501,NVDA UW Equity,US,871.33
725,2024-04-08,XOM,25079,XOM UN Equity,US,120.55
726,2024-04-05,BRK.B,44925,BRK/B UN Equity,US,418.62
727,2024-04-05,CMB,37965,JPM UN Equity,US,197.45
728,2024-04-05,MSFT,52712,MSFT UW Equity,US,425.52
729,2024-04-05,NVDA,53501,NVDA UW Equity,US,880.08
730,2024-04-05,XOM,25079,XOM UN Equity,US,121.37
731,2024-04-04,BRK.B,44925,BRK/B UN Equity,US,415.32
732,2024-04-04,CMB,37965,JPM UN Equity,US,195.65
733,2024-04-04,MSFT,52712,MSFT UW Equity,US,417.88
734,2024-04-04,NVDA,53501,NVDA UW Equity,US,859.05
735,2024-04-04,XOM,25079,XOM UN Equity,US,119.72
736,2024-04-03,BRK.B,44925,BRK/B UN Equity,US,420.24
737,2024-04-03,CMB,37965,JPM UN Equity,US,198.3
738,2024-04-03,MSFT,52712,MSFT UW Equity,US,420.45
739,2024-04-03,NVDA,53501,NVDA UW Equity,US,889.64
740,2024-04-03,XOM,25079,XOM UN Equity,US,119.3
741,2024-04-02,BRK.B,44925,BRK/B UN Equity,US,418.92
742,2024-04-02,CMB,37965,JPM UN Equity,US,198.86
743,2024-04-02,MSFT,52712,MSFT UW Equity,US,421.44
744,2024-04-02,NVDA,53501,NVDA UW Equity,US,894.52
745,2024-04-02,XOM,25079,XOM UN Equity,US,119.28
746,2024-04-01,BRK.B,44925,BRK/B UN Equity,US,420.2
747,2024-04-01,CMB,37965,JPM UN Equity,US,198.94
748,2024-04-01,MSFT,52712,MSFT UW Equity,US,424.57
749,2024-04-01,NVDA,53501,NVDA UW Equity,US,903.63
750,2024-04-01,XOM,25079,XOM UN Equity,US,116.99
751,2024-03-28,BRK.B,44925,BRK/B UN Equity,US,420.52
752,2024-03-28,CMB,37965,JPM UN Equity,US,200.3
753,2024-03-28,MSFT,52712,MSFT UW Equity,US,420.72
754,2024-03-28,NVDA,53501,NVDA UW Equity,US,903.56
755,2024-03-28,XOM,25079,XOM UN Equity,US,116.24
756,2024-03-27,BRK.B,44925,BRK/B UN Equity,US,416.93
757,2024-03-27,CMB,37965,JPM UN Equity,US,199.52
758,2024-03-27,MSFT,52712,MSFT UW Equity,US,421.43
759,2024-03-27,NVDA,53501,NVDA UW Equity,US,902.5
760,2024-03-27,XOM,25079,XOM UN Equity,US,114.97
761,2024-03-26,BRK.B,44925,BRK/B UN Equity,US,411.57
762,2024-03-26,CMB,37965,JPM UN Equity,US,195.73
763,2024-03-26,MSFT,52712,MSFT UW Equity,US,421.65
764,2024-03-26,NVDA,53501,NVDA UW Equity,US,925.61
765,2024-03-26,XOM,25079,XOM UN Equity,US,113.79
766,2024-03-25,BRK.B,44925,BRK/B UN Equity,US,409.92
767,2024-03-25,CMB,37965,JPM UN Equity,US,194.82
768,2024-03-25,MSFT,52712,MSFT UW Equity,US,422.86
769,2024-03-25,NVDA,53501,NVDA UW Equity,US,950.02
770,2024-03-25,XOM,25079,XOM UN Equity,US,114.65
771,2024-03-22,BRK.B,44925,BRK/B UN Equity,US,411.6
772,2024-03-22,CMB,37965,JPM UN Equity,US,196.62
773,2024-03-22,MSFT,52712,MSFT UW Equity,US,428.74
774,2024-03-22,NVDA,53501,NVDA UW Equity,US,942.89
775,2024-03-22,XOM,25079,XOM UN Equity,US,113.49
776,2024-03-21,BRK.B,44925,BRK/B UN Equity,US,413.78
777,2024-03-21,CMB,37965,JPM UN Equity,US,199.06
778,2024-03-21,MSFT,52712,MSFT UW Equity,US,429.37
779,2024-03-21,NVDA,53501,NVDA UW Equity,US,914.35
780,2024-03-21,XOM,25079,XOM UN Equity,US,113.49
781,2024-03-20,BRK.B,44925,BRK/B UN Equity,US,416.11
782,2024-03-20,CMB,37965,JPM UN Equity,US,196.33
783,2024-03-20,MSFT,52712,MSFT UW Equity,US,425.23
784,2024-03-20,NVDA,53501,NVDA UW Equity,US,903.72
785,2024-03-20,XOM,25079,XOM UN Equity,US,112.99
786,2024-03-19,BRK.B,44925,BRK/B UN Equity,US,411.76
787,2024-03-19,CMB,37965,JPM UN Equity,US,193.79
788,2024-03-19,MSFT,52712,MSFT UW Equity,US,421.41
789,2024-03-19,NVDA,53501,NVDA UW Equity,US,893.98
790,2024-03-19,XOM,25079,XOM UN Equity,US,113.09
791,2024-03-18,BRK.B,44925,BRK/B UN Equity,US,408.41
792,2024-03-18,CMB,37965,JPM UN Equity,US,192.66
793,2024-03-18,MSFT,52712,MSFT UW Equity,US,417.32
794,2024-03-18,NVDA,53501,NVDA UW Equity,US,884.55
